Title,Company,Location,Cleaned_Salary,Time (days ago),Cleaned_Experience (Years)
Full Stack Developer,Kualify Services Private Limited,Work from home,550000,7,1
Senior Mobile App Developer,Boost Engine Solutions,Work from home,450000,7,1
AWS Bedrock Developer,Mythri Systems,Work from home,200000,7,1
Front End Developer,Zepcruit,Pune,800000,7,1
Senior Java Developer,Relinns Technologies,Mohali,400000,7,1
Junior UI/UX Designer,Sinder,Work from home,350000,7,1
AI Automation Engineer,CanadaMentors,Work from home,350000,7,1
Front End Developer,LiveIntuitions Technologies,Bangalore,575000,7,1
Android App Developer,LiveIntuitions Technologies,Bangalore,525000,7,1
Web Developer (Backend),LiveIntuitions Technologies,Bangalore,525000,7,1
Product Manager,Nuvio Technologies Private Limited,Navi Mumbai,225000,7,0
Backend Developer,LiveIntuitions Technologies,Bangalore,525000,7,1
iOS App Developer,LiveIntuitions Technologies,Bangalore,625000,7,1
Robotics Trainee,Edutech India Private Limited,Bangalore,200000,7,1
Python Technical Trainer - Full Time Job,Allsoft Solutions And Service Private Limited,Delhi,450000,7,1
Python Technical Trainer - Full Time Job,Allsoft Solutions And Service Private Limited, Indore,450000,7,1
Python Technical Trainer - Full Time Job,Allsoft Solutions And Service Private Limited, Kolkata,450000,7,1
Python Technical Trainer - Full Time Job,Allsoft Solutions And Service Private Limited, Lucknow,450000,7,1
Python Technical Trainer - Full Time Job,Allsoft Solutions And Service Private Limited, Mohali,450000,7,1
Web Developer,Small Box Office,Delhi,240000,7,1
Junior Software Tester,Freshers Job Fair .IN,Bangalore,440000,7,0
Junior Software Developer,Freshers Job Fair .IN,Bangalore,400000,7,0
Data Structures And Algorithms Trainer,Finest Coder,Coimbatore,210000,7,1
IT Administrator,Group Futurista,Gurgaon,250000,7,1
QA Automation Engineer,Weekday,Chennai,550000,7,0
Electronics Hardware & Software Specialist,Indian Robotics Solution,Noida,500000,7,1
Java Developer,Pickmytrade,Work from home,245000,7,0
Associate Software Developer,SIDDIQUIS ELITE INDIA INSPECTION AND SURVEY PRIVATE LIMITED,Nagpur,265000,7,0
WordPress Developer,Vaikunth Technologies,Bhavnagar,200000,7,1
Full Stack Developer,WowPe,Bangalore,600000,7,1
Web Developer,Scalar Tech Media Private Limited,Work from home,250000,7,1
Kotlin App Development,AppVersal,Delhi,325000,7,1
Kotlin App Development,AppVersal, Noida,325000,7,1
Full-Stack CodeIgniter Developer (UI/UX + Figma),TopSystems.io,Work from home,900000,7,1
Full-Stack CodeIgniter Developer (UI/UX + Figma),TopSystems.io,Nashik,1000000,7,1
Android App Developer (Only Female Preferred)(PHP & Laravel),Saif Agro Tech,Bangalore,275000,7,1
Product Manager,Stamurai,Work from home,360000,7,0
Django Rest Framework Developer – Full-Time,Voizer.ai,Delhi,360000,7,1
React & Next.js Frontend Engineer – Build AI Interfaces,Voizer.ai,Delhi,320000,7,1
Junior IT Support Officer,SegueIT,Ghaziabad,225000,7,0
Senior PHP Developer,Skillstride Ventures (OPC) Private Limited,Lucknow,378000,7,1
IT Support & Systems Administrator,Kalolwala And Associates,Kolkata,800000,7,1
Software Developer,RapidLaps,Mumbai,450000,7,1
Associate Software Developer,Pandasdroid Private Limited,Work from home,450000,7,1
.NET Developer,Softel Technologies Incorporation,Mumbai,200000,7,0
.NET Developer,Roamkaro Technologies Private Limited,Noida,250000,7,1
Artificial Intelligence (AI) Associate,Voicedots Infotech,Work from home,220000,7,1
Information Technology Engineer,Globussoft,Bhilai,200500,7,1
Senior WordPress Developer,ZOOT DIGITAL SEO,Navi Mumbai,600000,7,1
"Backend Specialist - Research, Architect, And Build",Dofin Tech Private Limited,Gurgaon,576000,7,1
.NET Developer,Vasp Technologies Private Limited,Guwahati,325000,7,1
Android App Developer,Genleadkart Ai Pvt. Ltd.,Bhopal,220000,14,1
Junior Full Stack Developer,BLG Technologies,Work from home,500000,14,1
.NET Developer,DeepNexus.in,Work from home,700000,14,0
Quality Inspector,Datum Advanced Composites Private Limited,Kanpur,450000,14,1
Front End Developer,Stirring Minds,Delhi,250000,14,1
Artificial Intelligence (AI) Associate,Stirring Minds,Delhi,400000,14,0
Cyber Security Instructor - Full Time,Allsoft Solutions And Service Private Limited,Delhi,425000,14,1
Cyber Security Instructor - Full Time,Allsoft Solutions And Service Private Limited, Lucknow,425000,14,1
Cyber Security Instructor - Full Time,Allsoft Solutions And Service Private Limited, Mohali,425000,14,1
Full Stack Developer,Nasya Software Technologies Private Limited,Work from home,350000,14,1
Software Engineer Trainee,Nanomark Technologies,Work from home,900000,14,0
Backend Developer,Sedulous Softtech,Delhi,400000,14,1
Backend Developer,Sedulous Softtech, Ghaziabad,400000,14,1
Backend Developer,Sedulous Softtech, Noida,400000,14,1
Mobile App Developer,Softsensor.ai,Jaipur,450000,14,1
Technical Trainer,Iamneo.ai,Coimbatore,550000,14,1
Junior Software Tester,NEXOS SOFT TECHNOLOGIES,Noida,270000,14,1
Mobile App Developer,White Placard Systems Pvt. Ltd.,Ranchi,200000,14,0
Full Stack GenAI Developer,MeetMinutes,Work from home,650000,14,1
Full Stack Developer,Megaminds IT Services,Hyderabad,220000,14,0
Junior Software Developer,Sheenlac Paints Limited,Chennai,298000,14,0
Junior Mobile App Developer,Shubhchintak,Work from home,610000,14,1
Associate Software Tester,PRP Webs,Jaipur,250000,14,0
Associate Mobile App Developer,BLUECS.IN,Work from home,300000,14,1
.NET Developer,Bloom Infotech,Mohali,250000,14,1
AI Vibe Coder (Full-stack Development),Cinemate™,Mumbai,225000,14,1
Web Developer,PVP Staffing,Hyderabad,300000,14,1
System Administrator Intern,S.K. Translines Private Limited,Jalgaon Kh.,275000,14,1
Mobile App Developer,Rutecho IT Solution,Work from home,600000,14,1
Photo Editor,BEYOND PHOTOS,Delhi,500000,14,1
Photo Editor,BEYOND PHOTOS, Noida,500000,14,1
Computer Hardware And Software Installation Eng,Maruti Computers,Mumbai,250000,14,1
3D Rigging And Animator,Adstacks Media,Gurgaon,320000,14,1
NextJS Developer,Karan Rajput,Work from home,270000,14,1
Digital Media & Website Coordinator,Manor Clinic,Work from home,220000,14,1
Junior JavaScript Developer,Educase India,Hyderabad,300000,14,0
ERPNext Developer,Tekbee Technologies,Work from home,285000,14,1
MERN Stack Developer,ZustPe Payments Private Limited,Chennai,276000,14,0
Associate Software Developer,Invincitech Software Private Limited,Bangalore,240000,14,0
Senior Full Stack Developer,Digital Gorilla,Faridabad,300000,14,1
Computer Operator,Redoak Computing,Work from home,550000,14,0
MERN Stack Developer,Joiningends Technologies Pvt Ltd,Kolkata,300000,14,1
WordPress Developer,SaaSnic Technologies Services Private Limited,Work from home,200000,14,1
Game Developer,Sharpenminds Technologies Private Limited,Ahmedabad,400000,14,1
Junior Android App Developer,Dzaro Solutions,Indore,200500,14,1
WordPress Developer,Reliable Solution,Surat,400000,14,1
Sales Engineer,Senso Vision System,Bangalore,290000,14,0
Backend Developer,LeadPro,Chennai,260000,14,0
Full Stack Developer,MediaCom India,Work from home,550000,14,0
Software Engineer,MediaCom India,Work from home,650000,14,0
Software Tester,MediaCom India,Work from home,650000,14,0
Software Developer,MediaCom India,Work from home,650000,14,0
Web Developer,MediaCom India,Work from home,550000,14,0
